3517900,2238040
2967400,
2878300,
823300,
1003300,
1302900,1232580
1815100,
1099400,
1037200,
908300,
1392500,1552720
2018400,
1820000,
1161900,
1370800,
1818800,2049440
2020200,
1996300,
2431200,
1980700,
2621800,2261300
2202900,
2113100,
2192400,
2176300,
2866900,2586480
2245500,
2611800,
2534600,
2673600,
2518500,2478680
2326700,
2403300,
2547400,
2597500,
3469800,3094940
3098500,
3109200,
3064300,
2732900,
3177700,3209380
3193400,
3130400,
3153000,
3392400,
4004800,4324640
4150200,
4663100,
4660000,
4145100,
4745300,4923000
4664800,
4889400,
4994400,
5321100,
5088600,5789980
6009900,
5181100,
5260800,
7409500,
5497700,6098280
5890800,
6432700,
6194000,
6476200,
5963600,6520260
6984700,
6498300,
7034100,
6120600,
7863300,7192780
6818600,
7170100,
6657700,
7454200,
7219200,7522220
7429000,
7411300,
7813100,
7738500,
7592500,8359860
11251800,
7687900,
7569900,
7697200,
9072800,8090480
7947800,
7847200,
7838100,
7746500,
8558500,9220340
10579900,
8710600,
8596600,
9656100,
9578900,9252700
8843500,
8971400,
9566400,
9303300,
